"pixel3" "pixel8" "pixel13" "pixel18" "pixel23" "pixel28" "pixel33" "pixel38" "pixel43" "pixel48" "pixel53" "pixel58" "pixel63" "pixel68" "pixel73" "pixel78" "pixel83" "pixel88" "pixel93" "pixel98" "pixel103" "pixel108" "pixel113" "pixel118" "pixel123" "pixel128" "pixel133" "pixel138" "pixel143" "pixel148" "pixel153" "pixel158" "pixel163" "pixel168" "pixel173" "pixel178" "pixel183" "pixel188" "pixel193" "pixel198" "pixel203" "pixel208" "pixel213" "pixel218" "pixel223" "pixel228" "pixel233" "pixel238" "pixel243" "pixel248" "pixel253" "pixel258" "pixel263" "pixel268" "pixel273" "pixel278" "pixel283" "pixel288" "pixel293" "pixel298" "pixel303" "pixel308" "pixel313" "pixel318" "pixel323" "pixel328" "pixel333" "pixel338" "pixel343" "pixel348" "pixel353" "pixel358" "pixel363" "pixel368" "pixel373" "pixel378" "pixel383" "pixel388" "pixel393" "pixel398" "pixel403" "pixel408" "pixel413" "pixel418" "pixel423" "pixel428" "pixel433" "pixel438" "pixel443" "pixel448" "pixel453" "pixel458" "pixel463" "pixel468" "pixel473" "pixel478" "pixel483" "pixel488" "pixel493" "pixel498" "pixel503" "pixel508" "pixel513" "pixel518" "pixel523" "pixel528" "pixel533" "pixel538" "pixel543" "pixel548" "pixel553" "pixel558" "pixel563" "pixel568" "pixel573" "pixel578" "pixel583" "pixel588" "pixel593" "pixel598" "pixel603" "pixel608" "pixel613" "pixel618" "pixel623" "pixel628" "pixel633" "pixel638" "pixel643" "pixel648" "pixel653" "pixel658" "pixel663" "pixel668" "pixel673" "pixel678" "pixel683" "pixel688" "pixel693" "pixel698" "pixel703" "pixel708" "pixel713" "pixel718" "pixel723" "pixel728" "pixel733" "pixel738" "pixel743" "pixel748" "pixel753" "pixel758" "pixel763" "pixel768" "pixel773" "pixel778" "pixel783"
"18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105 0 0 0 0 2 50 0 0 0 0 222 222 249 0 0 0 253 253 0 0 0 0 253 253 0 0 0 0 134 81 0 0 0 0 204 0 0 0 0 0 226 0 0 0 0 122 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 83 208 0 0 0 19 253 150 0 0 0 253 253 0 0 0 0 120 60 0 0 0 0 253 0 0 0 0 0 10 0 0 0 0 238 0 0 0 0 0 212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 155 92 0 0 0 0 252 0 0 0 0 253 21 0 0 0 138 236 0 0 0 0 252 0 0 0 0 252 0 0 0 0 0 252 17 0 0 0 253 253 0 0 0 0 146 253 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 207 0 0 0 0 0 178 0 0 0 7 170 0 0 0 252 109 113 0 0 0 252 252 0 0 0 17 252 50 0 0 0 33 190 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 130 0 0 0 0 253 253 0 0 0 253 253 253 0 0 0 247 171 0 0 0 66 0 253 0 0 0 0 112 0 0 0 0 0 253 0 0 0 0 214 0 0 0 0 253 208 0 0 0 0 253 0 0 0 0 253 253 0 0 0 0 40 253 0 0 0 0 0 0 0 0 0 0 236 0 0 5 0 0 148 0 0 236 0 152 0 0 0 230 26 212 0 0 150 253 250 0 0 0 207 253 90 0 0 0 27 217 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 116 0 0 0 0 0 91 0 0 0 0 251 0 0 0 0 0 76 0 0 0 0 253 0 0 0 0 0 119 0 0 0 0 253 0 0 0 0 0 62 0 0 0 0 253 0 0 0 0 0 5 0 0 0 0 253 0 0 0 0 0 24 0 0 0 0 253 0 0 0 0 0 104 0 0 0 0 245 0 0 0 0 0 154 0 0 0 0 229 0 0 0 0 0 153 0 0 0 0 130 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 158 0 0 0 0 10 83 0 0 0 0 135 248 0 0 0 0 0 0 0 0 0 42 7 0 0 0 0 0 117 0 0 0 66 0 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 188 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 0 0 137 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 120 0 0 0 20 188 0 0 0 0 213 35 0 0 0 208 0 75 0 0 0 0 59 0 0 0 0 0 29 0 0 0 0 242 0 0 0 0 67 0 0 0 0 0 248 0 0 0 0 244 233 0 0 0 0 0 203 0 0 0 0 0 254 0 0 0 0 0 105 0 0 0 0 0 0 0 0 0 0 131 0 0 0 0 0 0 0 0 19 0 64 0 0 0 162 0 68 0 0 0 214 254 0 0 0 0 168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 0 0 0 0 254 254 0 0 0 0 122 147 0 0 0 0 98 0 0 0 0 0 148 0 0 0 0 48 0 0 0 0 0 154 0 0 0 0 30 0 0 0 0 0 146 0 0 0 0 80 10 0 0 0 0 254 9 0 0 0 254 235 0 0 0 0 211 0 0 0 0 94 0 0 0 0 0 199 0 0 0 0 87 0 0 0 0 0 232 0 0 0 0 7 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 253 0 0 0 252 252 252 52 0 0 252 153 252 0 0 252 39 10 246 0 0 209 0 252 0 0 252 0 35 88 0 0 145 0 252 0 0 0 0 223 0 0 0 0 0 246 0 0 0 0 253 0 0 0 0 59 86 0 0 0 0 252 0 0 0 0 221 0 0 0 0 2 246 0 0 0 0 252 0 0 0 0 79 88 0 0 0 0 252 0 0 0 0 223 0 0 0 0 0 236 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 207 0 0 0 128 96 0 0 0 0 249 253 0 0 0 210 249 0 0 0 0 31 229 0 0 0 254 0 0 0 0 0 13 240 0 0 0 71 0 0 0 0 0 0 226 0 0 0 0 0 0 0 0 0 0 228 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0
"27" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106 0 0 0 36 123 253 0 0 113 1 253 253 0 0 253 253 253 253 0 253 253 191 178 0 0 253 57 0 0 0 254 105 0 0 0 0 253 0 0 0 0 0 253 0 0 0 0 104 253 0 0 0 0 0 228 0 0 0 0 157 0 0 0 0 0 244 0 0 0 0 0 253 0 0 0 111 240 0 0 0 0 253 253 0 0 0 175 253 0 0 0 0 253 111 0 0 0 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 237 0 0 0 0 0 219 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 182 0 0 0 0 29 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 27 0 0 0 0 224 0 0 0 0 0 254 0 0 0 0 152 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 94 0 0 0 0 152 0 0 0 0 0 183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 251 0 0 0 0 211 254 0 0 0 2 0 238 0 0 0 254 0 149 0 0 0 36 0 24 0 0 105 0 0 0 0 0 254 0 254 0 0 0 0 0 0 0 0 8 0 243 0 0 0 0 0 0 0 0 0 0 209 0 0 0 0 0 0 0 0 0 0 176 0 0 0 0 0 0 0 0 0 0 95 0 0 0 0 0 8 0 0 0 0 102 0 0 0 0 0 41 0 0 0 0 0 2 0 0 0 0 254 0 0 0 0 0 0 0 0
"30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 155 20 0 0 0 0 253 29 0 0 0 46 249 0 0 0 0 0 190 0 0 0 0 0 253 0 0 0 0 0 31 0 0 0 0 108 0 0 0 0 0 159 0 0 0 160 253 0 0 0 0 253 0 0 0 0 125 60 0 0 0 0 187 0 0 0 0 0 253 0 0 0 0 0 166 0 0 5 0 0 0 0 0 229 0 253 0 0 0 141 20 0 0 0 116 201 253 0 0 0 188 253 0 0 0 0 193 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 113 25 0 0 0 240 252 0 0 0 0 195 246 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 163 0 0 0 0 0 154 0 0 0 0 252 0 0 0 0 141 253 0 0 0 0 253 253 0 0 0 94 167 252 0 0 0 0 0 21 0 0 0 0 252 0 0 0 0 0 253 0 0 0 0 144 0 0 0 0 0 204 0 0 0 57 252 0 0 0 169 252 74 0 0 0 112 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 159 38 0 0 254 245 254 0 0 0 254 180 254 0 0 0 4 0 187 0 0 0 0 62 0 0 0 0 0 250 0 0 0 0 103 0 0 0 0 0 222 0 0 0 0 62 0 0 0 0 0 213 0 0 0 0 120 0 0 0 0 0 179 0 0 0 0 85 0 0 0 0 0 180 0 0 0 0 49 0 0 0 0 0 184 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 12 0 0 0
"33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 253 253 0 0 0 0 252 252 0 0 0 164 252 252 0 0 0 39 39 198 0 0 0 0 135 0 0 0 0 0 252 0 0 0 0 252 0 0 0 0 165 252 0 0 0 0 253 4 0 0 0 252 252 0 0 0 0 63 253 0 0 0 0 0 34 0 0 0 0 168 0 0 0 21 0 252 0 0 0 0 25 0 0 0 238 0 252 0 0 0 239 200 0 0 0 0 203 252 0 0 0 204 253 0 0 0 0 132 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 253 121 253 0 0 0 252 252 0 0 0 252 252 173 0 0 0 95 39 0 0 0 252 0 0 0 0 0 24 0 0 0 0 252 0 0 0 0 0 252 0 0 0 0 252 252 0 0 0 0 119 253 0 0 0 0 0 90 0 0 0 0 13 0 0 0 216 0 252 0 0 0 197 0 129 0 0 121 53 155 0 0 0 252 0 252 0 0 0 252 173 0 0 0 39 237 241 0 0 0 218 252 0 0 0 0 217 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 173 0 0 0 0 0 253 0 0 0 0 142 254 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 50 0 0 0 0 173 0 0 0 0 0 20 0 0 0 0 173 0 0 0 0 0 151 0 0 0 0 152 152 0 0 0 0 243 0 0 0 0 253 123 0 0 0 0 252 0 0 0 0 31 0 0 0 0 0 233 0 0 0 0 0 0 0 0 0 0 252 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 62 0 0 4 221 91 0 0 0 254 78 0 0 0 0 49 0 0 0 0 178 0 0 0 0 13 0 0 0 0 0 214 20 0 0 0 0 79 237 31 0 0 254 146 184 0 0 0 81 0 23 0 0 76 0 0 170 0 0 0 0 0 232 0 0 0 0 0 0 0 0 0 0 212 0 0 0 0 0 58 0 103 0 0 149 0 0 0 0 0 25 0 59 0 0 254 0 0 248 137 254 0 0 0 254 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 32 0 0 5 253 253 253 0 0 253 253 253 253 0 139 253 253 253 0 0 253 253 253 164 0 0 253 228 26 0 0 253 253 20 0 0 0 253 253 0 0 0 235 253 253 0 0 0 241 0 253 0 0 0 0 0 0 0 0 0 0 253 0 0 0 0 0 253 0 0 189 0 140 0 0 0 253 148 253 0 0 0 253 253 86 0 0 69 253 253 0 0 0 253 253 28 0 0 0 242 223 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 112 91 254 0 0 0 253 253 253 0 0 168 253 253 106 0 0 253 253 253 0 0 17 253 0 195 0 0 253 40 231 0 0 0 92 0 253 0 0 0 0 205 0 0 0 0 0 227 0 0 0 0 249 0 0 0 0 0 253 0 0 0 0 204 0 0 0 0 0 234 0 0 0 0 249 0 0 0 0 0 253 0 0 0 0 206 0 0 0 0 0 253 0 0 0 0 66 253 0 0 0 0 253 0 0 0 0 0 253 0 0 0 0 0 0 0 0
